01-14 19:28:24.782 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:26.222 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:26.222 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:27.228 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:26.222 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=113.8 MB OOM!
01-14 19:28:27.228 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=113.8 MB OOM!
01-14 19:28:28.093 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=113.8 MB OOM!
01-14 19:28:28.093 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:28.933 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:28.933 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:29.687 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=113.8 MB OOM!
